Code_Postal;Diff_ConsoResidentiel;Diff_ConsoProfessionel;ConsoResidentielTotal;ConsoProfessionelTotal;Commune;Diff_ConsoIndustriel;ConsoIndustrielTotal;Diff_ConsoTertiaire;ConsoTertiaireTotal
17120;3436.022337;712.415808;34824.140600;8157.353664;Corme-Royal;-25.007315;92.460654;60.882922;3118.788900
17121;5523.289228;192.538148;76005.159488;12621.539898;La Couarde-sur-Mer;26.902639;150.973756;395.456900;18429.932713
17122;258.035774;107.192973;4217.739815;1277.459629;Coulonges;0.000000;0.000000;0.000000;0.000000
17124;501.574575;-7.742199;7206.225322;1292.695980;Courant;0.000000;0.000000;-8.835706;35.843634
17125;998.463924;-34.935810;10367.130917;291.787780;Courcelles;0.000000;0.000000;0.000000;0.000000
17126;112.500347;22.270640;6085.290470;497.790600;Courcerac;0.000000;0.000000;0.000000;0.000000
17127;3379.567195;77.972845;36275.134624;6413.591239;Courçon;13.298605;526.374412;777.695197;8710.798933
17128;608.535590;230.607774;14584.425992;1126.932869;Courcoury;0.000000;0.000000;10.458139;141.117257
17129;710.936997;-117.788128;8478.421571;1762.542873;Courpignac;0.000000;0.000000;-112.616101;1008.258914
17130;503.056592;-0.437021;8479.231360;1343.005913;Coux;0.000000;0.000000;47.714244;368.962048
17131;3075.839733;-261.835375;46216.593306;10196.652405;Cozes;34.690931;34.690931;1240.414242;11131.767572
17132;1170.301859;-59.661934;12577.373468;1649.501198;Cramchaban;0.000000;0.000000;22.370482;636.729391
17133;1483.922259;128.983369;16526.242793;2449.262127;Cravans;0.000000;0.000000;178.671118;1188.047017
17134;892.648611;10.550137;10659.444099;1985.983662;Crazannes;0.000000;0.000000;31.650321;140.448577
